time,user_name,user_color,message
5,d1tp,#000000,"vamoooooooooos"
5,kingjuan200,#FF0000,"OPAAAAAAAAAAAAAAAAA"
5,moobot,#54BC75," Simyo es más fácil que tener a un cactus por mascota. Tú haces tu propia tarifa: solo fibra, solo móvil o ambos, de prepago o de contrato, añades líneas adicionales, pones límites de consumo… Así, sí: https://bit.ly/3WJHXPl"
6,arnodorian230,,"por fiiiiiiiiin"
10,el_gafitas1,#DAA520,"1"
13,jezuoo98,#DAA520,"kleagueEscudo kleagueEscudo kleagueEscudo"
14,totimendex,,"Opaqqqqqqqa"
16,erme1990,#FF7F50,"kleagueOPA"
17,moobot,#54BC75," ⚔️ ¡Sigue a FLOKI en Twitch: https://twitch.tv/officialfloki, una marca de criptomonedas reconocida por más de 3000 millones de personas! ⚔️ https://www.floki.com/"
17,alejandr0vzla,#0000FF,"Yo estuve aqui"
18,adamsitosi,,"Holamihente"
19,biyo_siuuu,#9ACD32,"Xd"
20,totimendex,,"Opaqqqqqaaaaaaaaa"
20,roviser48,,"Hola"
20,zurditohdez98,#FF0000,"2"
21,marlon6263748,,"Ya inicia"
24,jaaumeee_07,,"A por la 33"
25,senlife_pro,#00FF7F,"rqrqrqrqdadsfsdfs"
25,adamsitosi,,"Opaaaaa"
25,avernotv,#FF0000,"ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino"
26,miguelreyero14,#0098FF,"!partidos"
27,daaaviiiiiidd,#00FF7F,"Y"
27,miqueas_cabello,,"Opaaáaaa"
27,moobot,#54BC75," kleagueQueensLogo Twitter: https://twitter.com/QueensLeague | Instagram: https://www.instagram.com/queensleague | TikTok: https://www.tiktok.com/@queensleague | YouTube: https://www.youtube.com/@KingsLeagueOfficial"
29,senlife_pro,#00FF7F,"siuuuu"
31,skrillo14,,"Hola los pibes"
32,isaac_8_,,"Eeeehh"
32,arnodorian230,,"0 espectadores perfecto"
32,gonsit7,#00FF7F,"Hola"
33,sir_iker,#B22222,"Sir_Iker subscribed at Tier 1. They've subscribed for 2 months! "
33,franjogab,,"Vamo a juga"
34,miguelreyero14,#0098FF,"!horarios"
35,adamsitosi,,"33?"
36,eldodze,#B22222,"OSFrog OSFrog OSFrog OSFrog OSFrog OSFrog"
37,paucasamayor10,,"Oooooopaaaaaaa"
37,kenjissssss,,"Opaaaa"
38,romi_gg20,#008000,"Hi"
39,rudy_km,#00FF7F,"HOLAAAAAAAAAAAAA"
39,malakason69,,"Holaaaaaa"
39,elericucho,#1E90FF,"Listooo"
40,miqueas_cabello,,"BUEEEENAAAAAS"
41,jean_quintana93,,"Vamooos PPP"
42,oscar_998,#B22222,"Holaa"
43,isaac_8_,,"NAVARROOSAAAAA"
44,gabomoralesiii,#6B6BDC,"Tamo ready"
44,billygabriel0,,"🙌🏾"
45,malakason69,,"Necesito trabajar"
45,numen24,#00FF7F,"oooopaaaa"
45,luiyi4,#FF0000,"33"
46,capitan___jr,,"🤛🏻🤜"
46,realsantander,,"Holaaaaa"
46,remberto11,#FF0000,"ibaiLando ibaiLando ibaiLando"
47,kenjissssss,,"Opaaaaaa"
47,jeanpaul_va,,"Oopppaaaaaa"
48,itsedgar29,,"Primero"
48,dieguito_zg,,"PERUUUUU"
48,diegobassh,,"1"
49,daniel51096,,"1"
49,irismoreira30,,"Holaaa"
49,capitan___jr,,"🤜🤛🏻"
50,verage12,,"1"
50,adamsitosi,,"Los hombres están desde el principio"
51,alexomgyt12345,#00FF7F,"eeeeeeeeee 333"
52,iker_bucone,,"Nevera de arbitros"
52,djchriisr90,#FF0000,"OPAAAAAAAAAAAAAAAA"
52,byrafamvp,,"Primero"
52,ghost_x_zznukezz,#8A2BE2,"First"
52,xodiiissey,,"Dale Hulkazooooo"
55,dieguito_zg,,"PPP"
55,verage12,,"Primeraa"
55,byrafamvp,,"Eooo"
55,moobot,#54BC75," kleagueLogo CAMISETAS OFICIALES EN: https://store.kingsleague.pro"
55,al3y0209,#00FF7F,"opaaaaaaaaaaaaaa"
55,diego_23910,,"Primero"
55,josuezaldivar89,,"josuezaldivar89 subscribed at Tier 1. They've subscribed for 4 months! Opaaaaaa"
56,lukasrosalaa,#00FF7F,"lukasrosalaa subscribed with Prime. "
56,roviser48,,"kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo"
56,iker_rl367,#8A2BE2,"epaaaaa"
56,alexomgyt12345,#00FF7F,"ooooooppaaaaaaaaaaaaaaaaaaaa"
57,elpolloseco174,#1E90FF,"Hola"
57,sandralop_1992,#CB3EA3,"kleagueOPA kleagueOPA kleagueOPA kleagueOPA kleagueOPA"
57,ericmorcillo09,,"Primero"
58,its_jorginho47,,"1"
58,malakason69,,"🦭🦭🦭🦭"
58,vrl017,,"hola"
60,moasa033,,"Hola"
61,theori10,#0000FF,"Olaaaa"
61,osoveha,#FF0000,"Joder van tarde"
62,biyo_siuuu,#9ACD32,"TODOS TENEMOS QUE DECIR A POR LA 33"
62,gabomoralesiii,#6B6BDC,"Heeeeey tamo de vuelta kleagueOPA kleagueOPA kleagueOPA"
63,skrillo14,,"Buenas buenas"
64,malakason69,,"🚬🚬🚬🚬"
64,diego_p66,#9ACD32,"Vamos pío"
65,yerman99gg,#FF7F50,"Holaaa"
65,moobot,#54BC75," Dale a seguir a nuestra playlist: https://spotify.link/Spotify-UltimateMostoles"
65,elchachitto,#9ACD32,"PPP"
65,theori10,#0000FF,"Opaqa"
66,raulfarfan1234,,"Puro pinche pio"
66,jimmyvonb,#DAA520,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo Poooound Poooound Poooound kleagueEscudo kleagueEscudo kleagueEscudo Poooound"
66,osoveha,#FF0000,"Ese chocolate 🍫"
66,bri_gg3,#0000FF,"Wuenassss"
67,adrianferrari10,#FF0000,"ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino"
67,kinchiyt,#FFFFFF,"primero"
67,patofakexdd,,"Vamoooo"
67,irismoreira30,,"KUNISPORT ♥️♥️♥️"
68,moasa033,,"Pinerooooo"
68,franciscojmf,#8A2BE2,"33?"
68,kevin_c545,#FF0000,"rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio"
68,geostark71,,"Hola"
69,danielisky10,,"Holaaaaa"
70,pedrulce_,,"Hola"
70,kinchiyt,#FFFFFF,"vamossssssssssssss"
70,pikilewis,,"Porfin!!"
71,daniel51096,,"Pío"
71,karimt9,#8A2BE2,"kleagueLogo kleagueLogo kleagueLogo kleagueLogo"
71,zulenotfound,#FF69B4,"Holaaaa"
71,josemsegura,,"blanco49Vacilon blanco49Vacilon blanco49Vacilon blanco49Vacilon"
72,gigii_001,,"amen amen amen"
72,gianlucaelpepe,,"Wazqaaaaa"
72,theori10,#0000FF,"Alaaa"
72,daniel51096,,"Pio"
72,isaac_8_,,"NAVARROOSAAAA"
72,giio_gg,#1E90FF,"PPP"
72,williamorteg,,"Hola"
73,yovngnexuz,#FF0000,"Puro pinche pio"
73,verage12,,"SeemsGood"
73,theori10,#0000FF,"Alqqqq"
74,rauliyaa,#00FF7F,"✨"
74,valeriafloores,#00FF7F,"Hola buenos dias"
75,theori10,#0000FF,"Alaaaa"
75,freecarbo,#8A2BE2,"ppp"
75,biyo_siuuu,#9ACD32,"A POR LA 33"
75,teartes,#FF0000,"Vamonoooo"
76,a_lexa124,,"Buenos días"
76,marcos_hola20,,"riPepperonis DoritosChip DBstyle DAESuppy PipeHype ANELE BrokeBack PanicVis BigBrother Kippa RitzMitz Keepo"
76,carlosssss_11,,"33"
76,balilla01,#1E90FF,"la gente que dice primero... jeje"
76,patofakexdd,,"A por la 33"
77,heyclars_gg,#FF69B4,"PPP rivers41Pio"
78,moobot,#54BC75,"Tu squad de domingo: McDelivery, Uber Eats y nuestro nuevo pack"
78,danielisky10,,"Hola mods 👋"
79,skrillo14,,"Tengo 100 usd por porcinos, quien le entra?"
79,francesco05299,,"Eyyy"
79,kevinseak,,"Hola"
80,irismoreira30,,"33?"
80,skrugthalt,#8A2BE2,"Clap Clap Clap"
80,yerman99gg,#FF7F50,"Vamos rayooo"
80,verage12,,"kleagueLogo"
80,osoveha,#FF0000,"Donde esta chocolate cuando se ocuupa"
80,theori10,#0000FF,"😈"
80,remberto11,#FF0000,"ibaiPeeporcino ibaiLando ibaiPeeporcino ibaiLando ibaiPeeporcino ibaiLando ibaiPeeporcino ibaiLando ibaiPeeporcino ibaiLando ibaiPeeporcino"
81,ricoooo00010,,"Opaaaaa"
81,machitobarato_96,,"otro fin más dónde Jijantes no ganará 😍"
82,solfuert,,"PPP"
82,josemsegura,,"blanco49Vacilon <3 blanco49Vacilon <3 blanco49Vacilon"
83,jm_de_la_o,#1E90FF,"PPP"
83,cam_200703,#0000FF,"HOLAAA"
84,a_lexa124,,"Puro pinché piooooo"
84,iker34rivera,,"Vamos pinche pio"
86,el_emiii,#F9FF00,"PEREZ 16 KEKW"
86,yerman99gg,#FF7F50,"Rayoooo"
86,marquitos__018,#00FF7F,"marquitos__018 subscribed with Prime. "
86,daniel51096,,"Opaaa"
86,pedrulce_,,"Buenos dias! Desde MEXICO!"
87,julisangela,,"💗💗💗"
87,moasa033,,"A POR"
87,giio_gg,#1E90FF,"vamos pio"
87,iker_bucone,,"Jijantes gana"
88,albertiniweb,,"F"
88,diego_23910,,"ARRIBBAAAAAAA MOSTOLESSSSSS kleagueEscudo"
88,vitoko19,,"Amen amen amen"
88,barrera0007,,"!partido"
88,daniel51096,,"Opaaaa"
88,sr_chocolat,#FF00D0,"hola!"
89,felixxitoo,#1E90FF,"Buenassss Tardessss a todosssss"
89,sombadywastolmi,,"Como 33?"
90,gigii_001,,"VAMOS PORCINOSSS"
91,giio_gg,#1E90FF,"PPP"
91,miqueas_cabello,,"Opaaaaaaaaaaaaa"
91,carlosgilabert__,,"Navarrosaaaa"
91,elpepe1357924680,,"Puro pinche Pio!!!"
91,walkerelite0,#DAA520,"Lakinli lakinli lakinli"
92,proxthefoxmc,,"HOLAA"
92,daniel51096,,"Gfgfff"
92,sussy29_,#FF69B4,"Buenos días buenos días"
92,sebas_090712,#FF0000,"Pio juega de primero"
92,pikilewis,,"kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo"
95,laraperezanti,#3F5FBD,"No molesten hoy hay furbó"
95,carlosssss_11,,"Vamooooos Aloooonnnnnsoooo 33"
95,marcos_hola20,,"Kippa"
95,kevin_c545,#FF0000,"rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio"
96,ittsluu,#5F9EA0,"PPP"
96,justifiedxxx,,"Piooooooo"
97,fernandax3616,,"Holaaaa"
97,oscar230311,,"Hola 👋"
97,joaquingv,#FF0000,"Se viene"
97,aleik_11_yt,#DAA520,"opaaaaaa"
98,daniel51096,,"Opaaa gahggagss"
98,mirelle_gg,#00FF7F,"PPP rivers41Pio"
100,valeriafloores,#00FF7F,"Madrugando por la pioneta 💜"
100,isaiasgd84,,"Puro pinche pío"
100,eddsink,,"OPPPPAAAAA"
100,arnodorian230,,"OPAAAAAAAAAAAA"
101,irismoreira30,,"A por la 33"
101,biyo_siuuu,#9ACD32,"A POR LA 33."
101,marcos_hola20,,"kleagueEscudo"
102,maikelrp,,"Hola"
102,ricoooo00010,,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo"
102,cesardoria10smonroe,#9ACD32,"cesardoria10smonroe is gifting 1 Tier 1 Subs to kingsleague's community! They've gifted a total of 1 in the channel! "
103,yerman99gg,#FF7F50,"Hola chateadoress"
103,cesardoria10smonroe,#9ACD32,"cesardoria10smonroe gifted a Tier 1 sub to poonsio! "
103,ericmorcillo09,,"kleagueQueensLogo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueQueensLogo kleagueQueensLogo kleagueQueensLogo kleagueQueensLogo kleagueQueensLogo"
104,efexxfn,#B22222,"Sayans"
104,ittsluu,#5F9EA0,"rivers41Pio rivers41Pio rivers41Pio"
104,solfuert,,"Opaaaaaaaa bruuuuubuuuu"
105,juanita_03v,#8A2BE2,"Hl me pueden dar el horario plis"
105,raidrako1995,,"Amen amen amen"
105,trino82,,"🤫"
107,nox_khada,#9ACD32,"Buenas madrugadas desde Latam peepoSitHey peepoSitHey peepoSitHey peepoSitHey peepoSitHey"
107,jacodm45,,"holaaaa"
107,ulitalkko8,,"Hola"
108,ricoooo00010,,"Ooooooopaaaaaaa"
108,pakparker,#FF1818,"Vamos Mostoletaaaaa!!!!!"
109,007wiliam,#FF0000,"Opaaaaaa"
109,marcos_hola20,,"DoritosChip"
109,biyo_siuuu,#9ACD32,"A POR LA 33"
109,sebas_090712,#FF0000,"Pio"
109,iker_bucone,,"Amen Amen Amen Amen Amen Amen"
109,raulfarfan1234,,"Pio"
109,daniel51096,,"Pio vamos"
110,osoveha,#FF0000,"Se chocolate cómo estás"
110,maikelrp,,"G"
110,alex_bomen,,"Troncos"
111,elvinvalle,#008000,"Opaaa"
111,walkerelite0,#DAA520,"#PPP"
111,katerinaaa011,,"Holaaaaaaa"
111,miqueas_cabello,,"OPAAAAAAAAAAAA"
111,sussy29_,#FF69B4,"rivers41Pio rivers41Pio rivers41Pio"
111,lukss34_,,"Barrrioooooooo"
112,luisanajasmin,,"Ppp"
112,mireia_15_,#1E90FF,"Ooooopaaa"
112,30luks,,"Vamosss El Barrio"
113,fernandax3616,,"Puro pin che pio"
113,jeanpaul_va,,"Puro pinche Pío!"
114,maoh1104,#FF69B4,"ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino ibaiPeeporcino"
114,efexxfn,#B22222,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueQueensLogo kleagueQueensLogo kleagueQueensLogo"
